name,number,description,cloze,category,year,year_kind,pins,place_label,len,quotes,year_end,link
Daisy,,"The daisy is associated with innocence, childhood, and purity in a number of folklore traditions.`In Norse mythology, the daisy`is tied to Freya, the goddess of fertility, motherhood, and`childbirth.`In Celtic tradition, daisies grew for the spirits of`children who died in birth.`And in ancient Roman mythology, the nymph Belides turns herself into a daisy to preserve`her innocence while she`s pursued by Vertumnus, the god`of the seasons.","{meaning:""Innocence"";scientific_name:""Bellis""}",Floriography,,,,,,"Baby`s breath as a gift for a newborn baby,Peony and violet for an expression of childhood bliss",,
Dandelion,,"Dandelions are associated with wishes and fortune-telling; it`s customary in many Western cultures to make a wish while blowing on the dandelion`s `puff,` dispersing its seeds. More practically, dandelions have been used to predict the weather, as their puffs will stay closed in inclement weather and open when sunny, clear skies are on the way.","{meaning:""Divination"";scientific_name:""Taraxacum""}",Floriography,,,,,,Ferns for a magical solstice celebration;Foxglove and holly to indicate the ability to solve future problems,,
Datura,,"Datura, while it may charm you with its beautiful appearance, is extremely poisonous if ingested. The flowers, also known as `devil`s trumpets,` are said to have been used in early European witchcraft as an ingredient in the ointment that allowed witches to fly on their broomsticks.","{meaning:""Deceitful charms"";scientific_name:""Datura""}",Floriography,,,,,,Wormwood for a spurned lover;Thistle for a friend going through a breakup,,
Dogwood,,"The gentle and`whimsical blooms of the dogwood tree look delicate, but the`wood of its trunk is strong and durable.`Victorian lovers`used this flower to indicate that their love could endure`any trial.","{meaning:""Our love will overcome adversity"";scientific_name:""Cornus""}",Floriography,,,,,,Hellebore for strength to overcome scandal;Monkshood for chivalry in the face of an obstacle,,
Eldelweiss,,"Because the star-shaped, white edelweiss flower blooms high in the Alps, collecting the blossoms is a dangerous task. For this reason, procuring edelweiss for your lover was thought to be a feat of great courage and devotion.","{meaning:""Courage"";scientific_name:""Leontopodium""}",Floriography,,,,,,Lily and laurel for a friend embarking on a new career;Sweet William to show the recipient your gallant courage,,
Eucalyptus,,"Aboriginal peoples used eucalyptus oil to disinfect, soothe, and treat many common ailments, thus providing protection from illness. Named by Charles Louis L`H`ritier de Brutelle in 1788, eucalpytus`s name comes from the Greek roots eu and kalypt`s, translating to `well` and `covered,` again suggesting protection.","{meaning:""Protection"";scientific_name:""Eucalyptus""}",Floriography,,,,,,Heather for good luck to a friend embarking on a journey;Queen Anne`s lace to wish the recipient safe travels,,
Fern,,"Ferns grow in wet areas, yet their leaves repel water.`This curious quality led ferns`to be associated with magic and secrecy.`The genus`Adiantum, which comes from the Greek for `unwetted,` honors ferns` fascinating`duality.`Additionally, Venus, the Roman goddess of love and beauty, was said to have tresses of maidenhair ferns, which remained`dry after she rose from the sea.","{meaning:""Magic"";scientific_name:""Adiantum""}",Floriography,,,,,,"Foxglove for a secret love, Poppy to show the recipient you think of them in your dreams",,
Forget-Me-Not,,"The forget-me-not`s name and meaning originate with a German folktale about a young couple in love. While walking along a river, the bride-to-be stops to admire a cluster of beautiful blue flowers. Her lover attempts to pick the flowers for her, but he falls into the swiftly flowing river. He throws the flowers to her as the river carries him away, calling out to her, `Forget me not!`","{meaning:""Forget me Not"";scientific_name:""Myosotis""}",Floriography,,,,,,"Zinnia for a friend who is moving away, Larkspur to say remember the good times, Oak for a long-distance relationship",,
Foxglove,,"Foxglove has long`been associated with fairy folklore in the British Isles.`Its`name may have been `folkglove` originally, as fae folk`or`fairies`were said to hide within its blooms.`Children who`wished to see the fairies and hear their riddles would`peer inside these flowers.`Picking a foxglove, however, was thought`to be bad luck, as it robbed the fairies of`their homes; this rumor may have begun to keep children`from touching these blooms, which could be deadly if consumed.","{meaning:""Riddles"";scientific_name:""Digitalis""}",Floriography,,,,,,Lavender to warn a friend of an unfaithful love;Hyacinth to ask for forgiveness for divulging a secret,,
Gladiolus,,"In Latin,`gladius`translates to `sword,` hence the common nickname `sword lily` for this flower.`Both the name and meaning`of this large and imposing plant derive from the swordlike shape of its leaves.","{meaning:""You pierce my heart"";scientific_name:""Gladiolus""}",Floriography,,,,,,Yarrow to heal a broken heart; Anemone and daffodil for an unrequited love; Hemlock and marigold for a friend in grief,,
Hawthorn,,"In Greek mythology, Hymenaios, god of the wedding ceremony, carried a hawthorn`thought to be sacred`in a flaming torch. Ancient Greek brides used the blossoms in their bouquets and hair on their wedding days, leading to hawthorn`s association with hope in love.","{meaning:""hope"";scientific_name:""Grataegus""}",Floriography,,,,,,Camellia to indicate hope that a lost love will return;Orange blossom to show hope that the recipient will return your affections,,
Heather,,"Heather`s meaning originates with Scottish folklore. In the third century, Malvina, a legendary beauty, was betrothed to a brave warrior called Oscar. As Oscar lay dying in battle, he instructed a messenger to deliver a sprig of purple heather to his bride-to-be as a token of his eternal love. When Malvina`s tears fell upon the flower, it changed from purple to white. From then on, heather was said to turn sorrow to good fortune and protection. Historically, many Scottish warriors have worn white heather in battle for this reason.","{meaning:""Luck"";scientific_name:""Calluna""}",Floriography,,,,,,Rose as you begin a new relationship;Cattail for good health for a friend awaiting a diagnosis,,
Hellebore,,"Despite`its reputation as a poisonous plant, hellebore has been`used for medicinal purposes.`In Greek myth, the healer Melampus`is said to have cured madness by administering hellebore, and`herbalists throughout ancient times and into the Middle Ages used`hellebore to treat various ailments.`The curious plant, which bloomed`at the very end of winter, just before spring, was`thought to have magical powers, and was at times associated with witchcraft.","{meaning:""a"";scientific_name:""a""}",Floriography,,,,,,Begonia to warn of future challenges;Edelweiss for courage in the face of what`s to come;Clover for hope and good luck;,,
Hemlock,,"Hemlock is a poisonous plant that causes paralysis and`death.`Perhaps the most infamous poisoning by hemlock was that`of Socrates, who drank a tea made from the plant`after being sentenced to death for his moral philosophy.","{meaning:""Conium maculatum"";scientific_name:""Conium maculatum""}",Floriography,,,,,,Chrysanthemum for condolences upon the loss of a loved one;Nettle for a loved one who has been taken away too soon,,
Holly,,"In many European`pagan traditions, holly branches were hung in homes to protect`against misfortune.`This custom was later adopted for the Christmas`holidays by the Victorians, who loved to indulge in superstition.`Holly often figured in fortune-telling games as well; in`Wales, it was said that if a girl ran seven`laps around a holly tree one way, then seven times`around the other way, her future husband would appear to`her.","{meaning:""Foresight"";scientific_name:""Hex""}",Floriography,,,,,,Orchid to show gratitude for a gift you treasure;Cornflower to show your true devotion to a loved one,,
Honeysuckle,,"Victorians claimed that sleeping with honeysuckle flowers under your pillow would cause you to dream of your true love. This belief may have originated with Shakespeares A Midsummer Night`s Dream, in which Titania compares her slumbering with Bottom to the way a sweet honeysuckle encircles a barky elm: Sleep thou, and I will wind thee in my arms . . . So doth the woodbine the sweet honeysuckle / Gently entwist; the female ivy so / Enrings the barky fingers of the elm. / O, how I love thee! How I dote on thee!","{meaning:""Devotion"";scientific_name:""Lonicera""}",Floriography,,,,,,Orchid to show gratitude for a gift you treasure;Cornflower to show your true devotion to a loved one,,
Hyacinth,,"The hyacinth takes its name and meaning from Greek mythology. Hyacinthus, a beautiful young man, was beloved by Apollo. During a game of discus throwing, Apollo`s discus was knocked from its course by a jealous Zephyrus, striking Hyacinthus and killing him. Hyacinth flowers were said to have grown from the blood that fell from his head wound as Apollo begged his forgiveness.","{meaning:""Please forgive me"";scientific_name:""Hyacinthus""}",Floriography,,,,,,Olive to ask for peace and forgiveness;Pansy to indicate your betrayal haunts you,,
Hydrangea,,"The hydrangea`s negative association with boastfulness and heartlessness comes from its bountiful and round blooms. Large and abundant, the magnificent flowers only produce a few seeds, supporting the notion that they are all show and little substance.","{meaning:""Boastfulness"";scientific_name:""Hydrangea""}",Floriography,,,,,,Tansy and petunia to indicate your displeasure at a recent turn of events;Fern to reassure a friend that you will keep their secret indiscretion to yourself,,
Hyssop,,"The meaning behind hyssop can be traced to ancient Greece, where the flower was used to clean and purify temples. In biblical times, the plant was even used to treat leprosy. Its cleansing aroma is a welcome addition in bouquets representing anew beginning.","{meaning:""Cleanliness"";scientific_name:""Hyssopus""}",Floriography,,,,,,Lily and Queen Anne`s`lace when housesitting to show you`ll keep things clean`and tidy;Jasmine to honor a friend for their cheerful`and virtuous heart,,
Iris,,"The iris has long been associated with power and victory; the ancient Egyptians used the iris to crown the brow of the Sphinx. Years later, Clovis I, the fifth-century king of the Franks, won a significant battle after seeing irises blooming in a river. His soldiers adorned themselves with the flowers afterward, and the iris`s three upper petals were then said to represent the valor, wisdom, and faith that led to their success in battle.","{meaning:""valor"";scientific_name:""iris""}",Floriography,,,,,,Bluebells to show humility in victory;Clematis to indicate admiration for ingenuity,,
Ivy,,"This clinging, leafy vine winds itself around ancient trees. Even after a tree dies, ivy remains attached, unable to be separated from its eternal embrace.","{meaning:""Fidelity"";scientific_name:""Hedera""}",Floriography,,,,,,Dahlia to honor a long-lasting relationship;Hellebore to say that nothing will ever come between you and your partner,,
Jasmine,,"Jasmine`s light and lovely scent, along with its elegantly shaped blooms, perfectly convey amiability and cheerfulness. It is often used in weddings and celebrations, especially in the Philippines, Pakistan, and Indonesia, where it is a native plant.","{meaning:""Amiability"";scientific_name:""Jasminum""}",Floriography,,,,,,"Iris to show admiration for a friend`s strength of character;Crocus for a kind and generous loved one, or one with a particular zest for life",,
Lady Slipper,,"These orchids are famously fickle and difficult to cultivate. Some can take over a decade to bloom, and few survive transplantation. Others, however`if left undisturbed`can live for up to fifty years.","{meaning:""Capriciousness"";scientific_name:""Cypripedium""}",Floriography,,,,,,Hawthorn for hope for a good outcome;Snapdragon to encourage a friend in an unpredictable situation,,
Larkspur,,"The distinctive`seedpod of the larkspur is said to resemble the foot`of a lark, hence its name.`The lovely and light`song of these birds lifts the spirit, just as the`beautiful purple petals of the plant reach up toward the`heavens.","{meaning:""Levity"";scientific_name:""Delphinium""}",Floriography,,,,,,Protea to indicate better days are ahead;Begonia to assure someone that all past problems have been reconciled,,
Laurel,,"Ancient Olympic victors were crowned in wreaths of laurel`a tradition that was said to have originated with the Greek god Apollo. Pursued by Apollo, the nymph Daphne begged her father to protect her from his advances. Her father, Peneus, answered Daphne`s plea by turning her into a laurel tree. After seeing Apollo`s sadness at her transformation, Daphne is said to have crowned him with her leaves.","{meaning:""Glory"";scientific_name:""Laurus""}",Floriography,,,,,,Oak and edelweiss to encourage bravery in new territory;Chamomile for energy to overcome hardship,,
Lavender,,"Historically, lavender grew in hot climates, where asps`venomous snakes`frequently made their homes. Thus, the beautiful and fragrant flower could lure a curious person to their death. Some say the asp that killed Cleopatra was hidden in a bundle of lavender.","{meaning:""Lonicera"";scientific_name:""a""}",Floriography,,,,,,Foxglove to encourage a friend to reconsider their choices;Datura to tell someone that you see through their facade,,
Lilac,,"In Greek mythology, Pan, the god of the forests, was in love with Syringa, a nymph who feared his advances. To disguise herself, Syringa turned into a lilac bush. Pan, upon finding the shrub, cut its hollow reeds to form the pan flute, memorializing his first love. Victorian widows often wore lilac while in mourning over their late husbands.","{meaning:""First Love"";scientific_name:""Syringa""}",Floriography,,,,,,Monkshood to honor your first true love;Tulip to declare being in love for the first time;Daisy and aster for the purity and innocence of one`s first love,,
Lily,,"In the Middle Ages, the lily became associated with the Virgin Mary. Paintings of the Annunciation`the announcement by the archangel Gabriel to Mary that she would conceive and be the mother of Jesus`often depict Gabriel giving the Blessed Virgin a lily, in honor of her purity.","{meaning:""Purity"";scientific_name:""Lilium""}",Floriography,,,,,,Orange blossom for a wedding anniversary;Sweet William to honor an act of pure generosity,,
Lily of the Valley,,"Saint Leonard, a hermit`who lived in the forests of West Sussex, was said`to have slain the last dragon in England.`According to`legend, the places where Saint Leonard battled the dragon are`marked by lilies of the valley, which blossomed in clusters`wherever the saint`s blood was spilled.`Once he defeated`the dragon, Saint Leonard was able to resume his life`of happy seclusion.","{meaning:""Return of happiness"";scientific_name:""Convallaria""}",Floriography,,,,,,Protea to transform a bad situation into a good one;Yarrow to help soothe a broken heart,,
Magnolia,,"The magnolia tree`exudes dignity with its tall and hearty structure, its rich, waxy leaves, and its large, white blooms.`Its flowers are`often associated with the American South, where the tree grows`to magnificent heights and endures scorching summers.","{meaning:""Dignity"";scientific_name:""Magnolia""}",Floriography,,,,,,Belladonna to ask a friend to keep your secret;Olive as a reminder to maintain your dignity in difficult situations,,
Marigold,,"When clouds roll in or night falls, the marigold curls inward and lets its head droop. When it opens again in the sunlight, its petals, wet with dew, appear to be crying. Traditionally, marigolds are used to celebrate D`a de los Muertos (Day of the Dead) in Mexico, when the spirits of the departed are believed to visit the living. This celebration is rooted in the Aztec festival honoring Mictecacihuatl, the goddess of the underworld","{meaning:""Grief"";scientific_name:""Tagetes""}",Floriography,,,,,,Willow to indicate sorrow at the loss of a loved one;Rue to apologize for the pain you`ve caused,,
Mint,,"In Greek`mythology, the naiad Minthe became enamored of Hades, the god`of the underworld.`Persephone, Hades`s jealous queen, turned Minthe`into the common garden herb.`Mint has been associated with`consolation and mourning and was often used in funerary rites`to mask the smell of the decomposing body.`And so,`while Minthe could not be with the god of the`underworld, her consolation was to become a plant associated with`death.","{meaning:""Consolation"";scientific_name:""Mentha""}",Floriography,,,,,,Passionflower for faith that circumstances will improve;Cornflower to tell a friend they are thought of and loved during a difficult time,,
Mistletoe,,"In Norse mythology, the beloved god Balder was haunted by dreams of his impending death, so his devoted mother, Frigga, made everything in nature promise not to hurt him. Sadly, she overlooked the mistletoe plant. Loki, god of mischief, created an arrow from the plant and tricked Balder`s brother into killing him with it. In her grief, Frigga begged the other gods to bring Balder back, which they did, proving he could surmount all difficulties, even death itself. The now common use of mistletoe as decoration during Christmastime is a holdover from Druidic winter solstice celebrations. The bright winter berry, cut from the oak tree, was seen as a symbol of hope during the darkest, most difficult time of year.","{meaning:""Surmounting all difficulties"";scientific_name:""Viscum""}",Floriography,,,,,,Amaryllis for the confidence to overcome a challenge;Lady slipper to indicate your faith that the tides will turn in the recipient`s favor,,
Monkshood,,Monkshood is linked to chivalry thanks to the shape of its purple petals: they resemble a medieval knight`s helmet.,"{meaning:""Chivalry"";scientific_name:""Aconitum""}",Floriography,,,,,,Honeysuckle to show a friend you`ll do anything for them; Dogwood or mistletoe to encourage a loved one during a tough time;Cowslip to indicate you admire someone`s courage,,
Myrtle,,"Perhaps due to their association with both Hathor and Aphrodite`Egyptian and Greek goddesses of love`the beautiful, sweet-smelling blooms of this evergreen are frequently used in wedding celebrations.","{meaning:""Love"";scientific_name:""Myrtus""}",Floriography,,,,,,Dahlia for your one true love;Carnation for a Mother`s Day gift,,
Nettle,,"The stinging hairs`of the nettle plant can cause painful rashes to develop on`the skin.`In Hans Christian Andersen`s fairy tale, `The`Wild Swans,` a young princess named Elise must save her`eleven brothers after they are turned into swans by their`spiteful stepmother.`In order to break the curse, Elise is`instructed by a fairy to gather stinging nettles and weave`them into shirts for each of her brothers.`As she`works in silence, the nettles cruelly sting and burn her`hands.`Accused of sorcery for her strange behavior, Elise is`sentenced to burn at the stake.`Just before she is`put to death, she throws the nettle shirts over her`brothers, transforming them back into men.`One shirt, however, is`left unfinished, leaving her youngest brother with a wing instead`of an arm","{meaning:""Cruelty"";scientific_name:""Urtica""}",Floriography,,,,,,Oleander to warn someone that their betrayal has been discovered;Petunia to tell someone their apology has been deemed insincere,,
Oak,,"The oak tree was perhaps the most venerated of all plants throughout much of early history. It has long been associated with brave and triumphant figures in many different cultures. In Greek mythology, the oak is the sacred tree of Zeus. In Norse mythology, it is the tree of life, revered by Thor. And in Celtic Druidic culture, the oak tree was important in many rituals and ceremonies, as it was the sacred tree of the pagan god Dagda.","{meaning:""Bravery"";scientific_name:""Quercus""}",Floriography,,,,,,Sweet William and monkshood for someone you admire;Clematis to indicate appreciation for a leader in your life,,
Oleander,,"The Victorians assigned the meaning of `caution` to the oleander, perhaps because the plant is poisonous, but also because of its association with the Greek cautionary myth of Hero and Leander. The two were in love, and although they lived on opposite sides of the Hellespont Sea, Leander swam across it every night to visit Hero. One night, during a violent storm, Leander died while trying to swim to his love in the rough waters. When Hero saw Leander`s body washed ashore, she called out, `O, Leander! O, Leander!` and drowned herself to be with him in death.","{meaning:""Caution"";scientific_name:""Nerium oleander""}",Floriography,,,,,,Azalea to warn someone they`re about to make a poor choice;Sunflower to caution a friend against a bad investment,,
Olive,,"To `extend an olive branch` is to offer`reconciliation and peace.`This phrase comes from the Old Testament`story of Noah`s Ark, in which Noah assembles an`ark and fills it with pairs of animals before a`great flood.`After many days at sea, he sends a`dove to search for land, and the dove returns with`an olive branch in its beak, indicating land`and peace`are near.","{meaning:""Peace"";scientific_name:""Olea""}",Floriography,,,,,,Hawthorn and rue to ask for forgiveness;Queen Anne`s lace as a housewarming gift,,
Orange Blossom,,"The orange blossom`was one of the most popular wedding flowers during the`Victorian era; from simple ceremonies to extravagant galas, almost every`wedding included the orange blossom.`When Queen Victoria married Prince`Albert in 1840, she wore a headdress of orange blossoms.`This flower`s association with eternal love can be traced`to ancient Greece: when Hera married Zeus, she was given`orange blossoms by Gaea, the ancient goddess of the earth`and fertility.","{meaning:""Eternal love"";scientific_name:""Citrus sinensis""}",Floriography,,,,,,Dogwood for an anniversary gift after a difficult year;Ivy for a long-lasting relationship,,
Orchid,,"The orchid`s colorful, delicate, and shapely petals easily evoke elegance and beauty. The flower became an exotic luxury during the Victorian era, when only the wealthy could afford the expensive bloom.","{meaning:""Elegance"";scientific_name:""Orchis""}",Floriography,,,,,,Camellia for a friend you miss;Magnolia as a gift for someone you admire,,
Pansy,,"The name `pansy` comes from the French pens`e, meaning `thought.` In Shakespeare`s Hamlet, Ophelia remarks, `There`s pansies, that`s for thoughts,` while distributing flowers after the death of her father.","{meaning:""You occupy my thoughts"";scientific_name:""Viola tricolor var. hortensis""}",Floriography,,,,,,Chrysanthemum for a loved one going through a rough time;Forget-me-not as a gift for a friend whose kindness and generosity you`ll never forget,,
Passionflower,,"In the sixteenth century, Jesuit missionaries came across the passionflower in South America. They believed the flower to be a symbol of the Passion of Christ. The ten petals represent the ten faithful apostles, the filaments the crown of thorns, the stamens the five wounds, the ovum the hammer, and the styles the three nails that pierced the hands and feet of Christ.","{meaning:""Faith"";scientific_name:""Passiflora""}",Floriography,,,,,,"Edelweiss to indicate faith that someone will make the right choice, even if it is difficult;Iris as a gift for a religious leader",,
