name,number,description,category,year,year_kind,pins,place_label
Curry Leaf Tree,54,Small tree with aromatic leaves used in cooking. Used as culinary spice and in traditional medicine.,plant,1767,described,11.0|78.0|600;6.9|79.9|400,South India and Sri Lanka
Curry Plant (Helichrysum),55,Plant with leaves that smell like curry but are rarely eaten. Used in aromatic gardens and for ornamental use.,plant,1753,described,-30.6|22.9|600,Southern Africa
Bottle Gourd,56,Climbing vine producing hard-shelled gourds. Used for containers musical instruments and utensils.,plant,1753,described,9.1|7.5|800;28.6|77.2|700,Africa and South Asia
Ghost Pepper Plant,57,Plant that produces one of the world's hottest peppers. Used for extreme spice in cooking and hot sauces.,plant,2007,described,26.1|91.7|400,Northeast India
Chocolate Cosmos,58,Flower that naturally smells like chocolate. Used for ornamental gardening and fragrance gardens.,plant,1860,described,19.4|-99.1|500,Mexico
Corkscrew Vine,59,Vine with twisted spiral flowers. Used as decorative climbing plant.,plant,1800,described,19.4|-99.1|600,Mexico and Central America
Fairy Lantern,60,Plant with lantern-shaped flowers that grow close to the ground. Used for ornamental gardening.,plant,1840,described,36.2|138.3|500,Japan
Paperbark Tree,61,Australian tree with distinctive layered white bark that peels in thin papery sheets. Used in traditional Aboriginal medicine shelter construction and food wrapping.,plant,1768,described,-33.9|151.2|600;-27.5|153.0|500,Eastern Australia
Breadfruit Tree,62,Large tropical tree bearing starchy fruits that can be cooked and eaten. Important food staple in Pacific island communities used in cooking and traditional culture.,plant,1776,described,-17.5|-149.5|700;1.5|173.0|700,Pacific Islands
Marcus Aurelius,63,Roman Emperor and Stoic philosopher whose book Meditations shaped modern ideas of resilience self-discipline and mindful leadership. Widely read by world leaders and entrepreneurs today.,philosopher,121,birth,41.90|12.50|400,Rome Italy
Seneca (4 BC–65 AD),64,Roman Stoic philosopher and playwright whose writings on time management and the brevity of life directly influence modern productivity and self-improvement culture.,philosopher,-4,birth,37.98|-1.13|400,Cordoba Spain
Epictetus (50–135 AD),65,Former slave who became a Stoic philosopher. His teachings on focusing only on what we can control shaped cognitive behavioral therapy and modern resilience psychology.,philosopher,50,birth,38.4|29.7|400,Hierapolis Phrygia
Socrates (470–399 BC),66,Ancient Greek philosopher known for the Socratic method of questioning. His approach to critical thinking forms the foundation of modern education legal reasoning and scientific inquiry.,philosopher,-470,birth,37.98|23.73|300,Athens Greece
Plato (427–347 BC),67,Student of Socrates who founded the Academy in Athens. His theory of ideal forms and justice shaped Western philosophy politics and the concept of democracy.,philosopher,-427,birth,37.98|23.73|300,Athens Greece
Aristotle (384–322 BC),68,Student of Plato who founded formal logic and classified knowledge into sciences. His work underpins modern biology ethics politics and the scientific method.,philosopher,-384,birth,40.52|23.66|300,Stagira Greece
Confucius (551–479 BC),69,Ancient Chinese philosopher and teacher whose emphasis on virtue education and social harmony continues to shape East Asian culture governance and family values.,philosopher,-551,birth,35.58|116.98|400,Qufu China
Laozi (6th century BC),70,Ancient Chinese philosopher and founder of Taoism whose text the Tao Te Ching shapes Eastern thought on balance harmony and non-interference influencing leadership and wellness today.,philosopher,-600,birth,33.75|113.6|500,Eastern Zhou China
Zhuangzi (369–286 BC),71,Taoist philosopher known for poetic philosophical writing whose ideas about perspective freedom and living naturally influence Eastern psychology and modern mindfulness practices.,philosopher,-369,birth,33.6|114.0|500,Song state China
Immanuel Kant (1724–1804),72,German philosopher who defined the limits of reason and human knowledge. His categorical imperative shapes modern ethics human rights law and democratic political theory.,philosopher,1724,birth,54.71|20.51|300,Konigsberg Prussia
Friedrich Nietzsche (1844–1900),73,German philosopher who challenged traditional morality and religion. His concepts of the will to power and self-overcoming influence modern psychology existentialism and cultural criticism.,philosopher,1844,birth,51.15|12.0|300,Rocken Germany
Arthur Schopenhauer (1788–1860),74,German philosopher known for the philosophy of will whose ideas influenced Freud and Nietzsche and shaped modern theories on desire motivation and the unconscious mind.,philosopher,1788,birth,54.35|18.65|300,Gdansk Poland
René Descartes (1596–1650),75,French philosopher and mathematician who founded modern rationalism. His statement I think therefore I am anchors modern ideas of consciousness and the scientific method.,philosopher,1596,birth,47.0|0.2|300,La Haye France
John Locke (1632–1704),76,English philosopher who defined natural rights of life liberty and property. His political theory directly shaped the United States Constitution and modern liberal democracy.,philosopher,1632,birth,51.3|-2.8|300,Wrington England
David Hume (1711–1776),77,Scottish philosopher who questioned causation and the limits of human reason. His empiricism influenced modern science economics and the philosophy of religion and mind.,philosopher,1711,birth,55.95|-3.19|300,Edinburgh Scotland
Baruch Spinoza (1632–1677),78,Dutch philosopher who argued for the unity of God and nature as a single substance. His ideas shaped secular thought the separation of church and state and modern pantheism.,philosopher,1632,birth,52.37|4.90|300,Amsterdam Netherlands
Voltaire (1694–1778),79,French Enlightenment writer and philosopher whose fierce advocacy for freedom of speech tolerance and secular governance helped ignite the French Revolution and modern civil liberties.,philosopher,1694,birth,48.86|2.35|300,Paris France
Jean-Jacques Rousseau (1712–1778),80,French philosopher who argued society corrupts natural human goodness. His ideas about the social contract and popular sovereignty shaped modern democracy and education theory.,philosopher,1712,birth,46.20|6.14|300,Geneva Switzerland
Thomas Hobbes (1588–1679),81,English philosopher who argued that without government life would be brutal and short. His social contract theory laid the groundwork for modern political science and state authority.,philosopher,1588,birth,50.83|-2.76|300,Westport England
John Stuart Mill (1806–1873),82,British philosopher and economist known for utilitarianism and liberalism. His defense of individual freedom and women's rights influenced modern democracy and human rights legislation.,philosopher,1806,birth,51.51|-0.13|300,London England
Karl Marx (1818–1883),83,German philosopher and economist who analyzed capitalism and class struggle. His ideas shaped socialist and communist movements and continue to influence political economy and labor rights debate.,philosopher,1818,birth,49.75|6.64|300,Trier Germany
Simone de Beauvoir (1908–1986),84,French existentialist philosopher and feminist whose book The Second Sex is a founding text of modern feminism challenging gender roles and shaping women's liberation movements worldwide.,philosopher,1908,birth,48.86|2.35|300,Paris France
Jean-Paul Sartre (1905–1980),85,French existentialist philosopher who argued existence precedes essence. His ideas on radical freedom and personal responsibility profoundly shaped modern literature psychology and political activism.,philosopher,1905,birth,48.86|2.35|300,Paris France
Albert Camus (1913–1960),86,French-Algerian philosopher and author who explored the absurdity of life. His philosophy of rebellion against meaninglessness continues to inspire modern ethics literature and humanist thought.,philosopher,1913,birth,36.75|3.06|300,Algiers Algeria
Ludwig Wittgenstein (1889–1951),87,Austrian-British philosopher who revolutionized the philosophy of language. His insight that meaning depends on use in context shaped modern linguistics cognitive science and analytic philosophy.,philosopher,1889,birth,48.21|16.37|300,Vienna Austria
Bertrand Russell (1872–1970),88,British philosopher and mathematician whose work in mathematical logic helped birth modern computer science and artificial intelligence. A leading voice for pacifism and rationalism.,philosopher,1872,birth,51.75|-3.38|300,Trellech Wales
Hannah Arendt (1906–1975),89,German-American political philosopher who analyzed totalitarianism and the nature of evil. Her work on political freedom and public life shapes modern debates on democracy authoritarianism and human rights.,philosopher,1906,birth,52.40|9.80|300,Linden Germany
Michel Foucault (1926–1984),90,French philosopher who analyzed how power and knowledge shape social institutions. His critiques of prisons medicine and sexuality influence modern sociology critical theory and political activism.,philosopher,1926,birth,46.58|0.34|300,Poitiers France
Thomas Aquinas (1225–1274),91,Medieval theologian and philosopher who synthesized Aristotle with Christian theology. His natural law theory underpins modern Catholic moral teaching and Western concepts of justice and human dignity.,philosopher,1225,birth,41.35|13.43|300,Roccasecca Italy
Augustine of Hippo (354–430),92,Early Christian theologian and philosopher whose ideas on sin grace and the City of God shaped Western Christianity. His introspective writing influenced modern psychology and religious philosophy.,philosopher,354,birth,36.90|7.76|300,Hippo Regius Algeria
Diogenes (412–323 BC),93,Ancient Greek Cynic philosopher who lived in radical simplicity. His rejection of wealth and social convention challenges modern consumerism and inspires minimalist and anti-establishment thought.,philosopher,-412,birth,36.8|34.6|300,Sinope Turkey
Heraclitus (535–475 BC),94,Pre-Socratic Greek philosopher who taught that everything is in constant flux. His ideas on change and opposing forces influenced Hegel Marx and modern process philosophy.,philosopher,-535,birth,37.94|27.34|300,Ephesus Turkey
Parmenides (515–450 BC),95,Pre-Socratic Greek philosopher who argued that reality is one unchanging whole. His reasoning against change and plurality shaped the foundations of Western metaphysics and logical argumentation.,philosopher,-515,birth,40.05|15.65|300,Elea Italy
